Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-14,Edinburgh,CO,0.046,2020,1,2020-01-01,Pandemic
2020-01-14,Edinburgh,PM10,7,2020,1,2020-01-01,Pandemic
2020-01-14,Edinburgh,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-14,London,O3,67,2020,1,2020-01-01,Pandemic
2020-01-14,London,NO2,13,2020,1,2020-01-01,Pandemic
2020-01-14,London,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-14,London,CO,0.12,2020,1,2020-01-01,Pandemic
2020-01-14,London,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-14,London,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-14,Manchester,O3,36,2020,1,2020-01-01,Pandemic
2020-01-14,Manchester,NO2,36,2020,1,2020-01-01,Pandemic
2020-01-14,Manchester,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-14,Manchester,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-14,Manchester,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-14,Sheffield,O3,61,2020,1,2020-01-01,Pandemic
2020-01-14,Sheffield,NO2,16,2020,1,2020-01-01,Pandemic
2020-01-14,Sheffield,PM10,8,2020,1,2020-01-01,Pandemic
2020-01-14,Sheffield,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-15,Edinburgh,O3,73,2020,1,2020-01-01,Pandemic
2020-01-15,Edinburgh,NO2,7,2020,1,2020-01-01,Pandemic
2020-01-15,Edinburgh,CO,0.04,2020,1,2020-01-01,Pandemic
2020-01-15,Edinburgh,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-15,Edinburgh,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-15,London,O3,53,2020,1,2020-01-01,Pandemic
2020-01-15,London,NO2,25,2020,1,2020-01-01,Pandemic
2020-01-15,London,SO2,3,2020,1,2020-01-01,Pandemic
2020-01-15,London,CO,0.11,2020,1,2020-01-01,Pandemic
2020-01-15,London,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-15,London,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-15,Manchester,O3,27,2020,1,2020-01-01,Pandemic
2020-01-15,Manchester,NO2,44,2020,1,2020-01-01,Pandemic
2020-01-15,Manchester,SO2,3,2020,1,2020-01-01,Pandemic
2020-01-15,Manchester,PM10,16,2020,1,2020-01-01,Pandemic
2020-01-15,Manchester,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-15,Sheffield,O3,63,2020,1,2020-01-01,Pandemic
2020-01-15,Sheffield,NO2,14,2020,1,2020-01-01,Pandemic
2020-01-15,Sheffield,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-15,Sheffield,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-16,Edinburgh,PM10,6,2020,1,2020-01-01,Pandemic
2020-01-16,Edinburgh,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-16,London,O3,51,2020,1,2020-01-01,Pandemic
2020-01-16,London,NO2,20,2020,1,2020-01-01,Pandemic
2020-01-16,London,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-16,London,CO,0.11,2020,1,2020-01-01,Pandemic
2020-01-16,London,PM10,12,2020,1,2020-01-01,Pandemic
2020-01-16,London,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-16,Manchester,O3,35,2020,1,2020-01-01,Pandemic
2020-01-16,Manchester,NO2,32,2020,1,2020-01-01,Pandemic
2020-01-16,Manchester,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-16,Manchester,PM10,11,2020,1,2020-01-01,Pandemic
2020-01-16,Manchester,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-16,Sheffield,O3,52,2020,1,2020-01-01,Pandemic
2020-01-16,Sheffield,NO2,20,2020,1,2020-01-01,Pandemic
2020-01-16,Sheffield,PM10,15,2020,1,2020-01-01,Pandemic
2020-01-16,Sheffield,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-17,Edinburgh,O3,58,2020,1,2020-01-01,Pandemic
2020-01-17,Edinburgh,NO2,23,2020,1,2020-01-01,Pandemic
2020-01-17,Edinburgh,CO,0.067,2020,1,2020-01-01,Pandemic
2020-01-17,Edinburgh,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-17,Edinburgh,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-17,London,O3,52,2020,1,2020-01-01,Pandemic
